n_agents,n_families,panel,n,base_rate,auc_pr,lift,auroc,mean_disagreement
3,2,llama-3.1-8b-instruct+gpt-oss-20b+gpt-oss-120b,782,0.379,0.393,1.04,0.506,0.311
3,2,llama-4-maverick+gpt-oss-20b+gpt-oss-120b,783,0.378,0.392,1.04,0.516,0.321
3,1,llama-3.1-8b-instruct+llama-3.3-70b-instruct+llama-4-maverick,786,0.377,0.385,1.02,0.511,0.212
3,2,llama-3.1-8b-instruct+llama-4-maverick+gpt-oss-20b,786,0.377,0.382,1.02,0.49,0.295
3,2,llama-3.3-70b-instruct+llama-4-maverick+gpt-oss-20b,786,0.377,0.385,1.02,0.506,0.289
3,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+gpt-oss-20b,784,0.378,0.381,1.01,0.493,0.278
4,3,llama-4-maverick+gpt-5.6-sol+qwen3.6-27b+qwen3.6-plus,790,0.375,0.527,1.41,0.675,0.31
4,3,llama-4-maverick+gpt-5.6-sol+qwen3.6-35b-a3b+qwen3.6-plus,789,0.375,0.512,1.37,0.662,0.319
4,3,llama-3.3-70b-instruct+gpt-5.6-sol+qwen3.6-27b+qwen3.6-plus,790,0.375,0.509,1.36,0.65,0.305
4,2,llama-3.3-70b-instruct+llama-4-maverick+qwen3.6-35b-a3b+qwen3.6-plus,790,0.375,0.506,1.35,0.653,0.307
4,2,llama-3.3-70b-instruct+llama-4-maverick+qwen3.6-27b+qwen3.6-plus,790,0.375,0.504,1.34,0.649,0.3
4,3,llama-4-maverick+gpt-5.6-sol+qwen3.6-27b+qwen3.6-35b-a3b,789,0.375,0.503,1.34,0.65,0.321
4,2,llama-4-maverick+qwen3.6-27b+qwen3.6-35b-a3b+qwen3.6-plus,788,0.374,0.502,1.34,0.656,0.305
4,2,gpt-oss-120b+gpt-5.6-sol+qwen3.6-27b+qwen3.6-plus,789,0.375,0.504,1.34,0.644,0.331
4,3,llama-3.3-70b-instruct+llama-4-maverick+gpt-5.6-sol+qwen3.6-plus,787,0.376,0.501,1.33,0.649,0.293
4,3,llama-4-maverick+gpt-oss-120b+qwen3.6-27b+qwen3.6-plus,789,0.375,0.499,1.33,0.643,0.333
4,3,llama-3.1-8b-instruct+gpt-5.6-sol+qwen3.6-27b+qwen3.6-plus,790,0.375,0.489,1.31,0.63,0.328
4,3,llama-4-maverick+gpt-oss-120b+qwen3.6-35b-a3b+qwen3.6-plus,789,0.375,0.492,1.31,0.638,0.339
4,2,gpt-oss-20b+gpt-5.6-sol+qwen3.6-27b+qwen3.6-plus,789,0.374,0.491,1.31,0.633,0.346
4,2,gpt-oss-120b+gpt-5.6-sol+qwen3.6-27b+qwen3.6-35b-a3b,788,0.376,0.492,1.31,0.631,0.342
